#thickness,repetition,unprocessed,length,width,saw blade thickness,edge cutting,number of sub-panels,panel utilization,number of layers,type,material,color,AutoCUT10.24.8.7 Standard [Solver 5.0]
18,1,1,2800,2050,4.8,15,44,0.832652,1,Grained,,
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
28,3,0,2120.4,702,1,0,19,15,1169.4,380,380,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,702,3
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
29,0,0,702,702,0,0,28,1428.6,1169.4,380,380,0,20_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
30,0,0,702,702,0,0,28,721.8,1169.4,380,380,0,21_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
31,0,0,702,702,0,0,28,15,1169.4,380,380,0,22_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
32,3,0,2120.4,702,1,0,19,15,784.6,380,380,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,702,3
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
33,0,0,702,702,0,0,32,1428.6,784.6,380,380,0,23_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
34,0,0,702,702,0,0,32,721.8,784.6,380,380,0,24_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
35,0,0,702,702,0,0,32,15,784.6,380,380,0,25_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
36,3,0,2120.4,702,1,0,19,15,399.8,380,380,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,702,3
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
37,0,0,702,702,0,0,36,1428.6,399.8,380,380,0,26_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
38,0,0,702,702,0,0,36,721.8,399.8,380,380,0,27_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
39,0,0,702,702,0,0,36,15,399.8,380,380,0,28_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
40,3,0,2120.4,702,1,0,19,15,15,380,380,0,NONE
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
0,0,702,3
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
41,0,0,702,702,0,0,40,1428.6,15,380,380,0,29_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
42,0,0,702,702,0,0,40,721.8,15,380,380,0,30_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#sub-panel number,next phase sub-panels quantity,panel combination type,length,usable length,number of cutting lines,edge cutting in length,main panel number,X coordinate,Y coordinate,width,usable width,edge cutting in width,code
43,0,0,702,702,0,0,40,15,15,380,380,0,31_5
#cutting line number,line type (0: length cut vertical - 1: cross cut horizontal - 2: edge cutting in length vertical - 3: edge cutting in width horizontal),relative distance,repeated lines
#layer data(label item shall conform to template label)
#layer number,number of panels,label item
0,1,31
#code (key word - unique in the cutting pattern),BarCode,category,CutLen,CutWid,thickness,BarCodequantity,rotate,texture,Swap,TLArrow,Fill,product,material,color,Label photo,Edge,Remarks,OrderNo,Drilling,FinLength,FinWidth,Milling,GroupNo,CarNo,Routing
1_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
2_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
3_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
4_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
5_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
6_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
7_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
8_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
9_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
10_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
11_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
12_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
13_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
14_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
15_4,DRAW BACK,Grained,382,130,18,219,0,,0,0,,,,,,,,,,,,,,,
16_1,PLINTH,Grained,414,80,18,73,0,,0,0,,,,,,,,,,,,,,,
17_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
18_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
19_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
20_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
21_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
22_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
23_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
24_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
25_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
26_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
27_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
28_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
29_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
30_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
31_5,S/WALL RH,Grained,702,380,18,73,0,,0,0,,,,,,,,,,,,,,,
